"Nº","TITULO","AUTOR","URL","UBICACION","IMAGEN","FECHA","DISTRITO"
360,"Monumento a los Juegos Olímpicos de México","Anónimo",,"Plaza de los Juegos Olímpicos de México","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/360.JPG",1968,"DISTRITO CIUDAD ALTA"
361,"Torre helicoidal","Juan Antonio Giraldo","http://www.diccionariodeartistas.org/index.php?option=com_content&task=view&id=626&Itemid=736","Feria del Atlántico – Cl Diego Betancor Suárez","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/361.JPG",1969,"DISTRITO CIUDAD ALTA"
363,"Monumento al General García Escámez","Abraham Cárdenes Guerra",,"Plaza de García Escámez","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/363.JPG","C. Primera mitad del siglo XX","DISTRITO CIUDAD ALTA"
366,"Monumento a la Lucha Canaria","Santiago Vargas Jorge",,"Plaza Juegos Olímpicos de México","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/366.JPG","C. 1970 - 1973","DISTRITO CIUDAD ALTA"
399,"Busto de Felo Monzón","Tony Gallardo. Fundido por el taller Bronzo en Tenerife","http://www.tonygallardo.com","Avenida del Pintor Felo Monzón – Cl Hoya de La Gallina","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/399.JPG",2000,"DISTRITO CIUDAD ALTA"
426,"Las tres cruces","Anónimo",,"Plaza de Nuestra Señora de los Dolores","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/426.JPG","C. 1975","DISTRITO CIUDAD ALTA"
427,"Pleamar XXVII","Amadeo Gabino","http://www.diccionariodeartistas.org/index.php?option=com_content&task=view&id=618&Itemid=728","Feria del Atlántico – Cl Diego Betancor Suárez","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/427.JPG",2001,"DISTRITO CIUDAD ALTA"
429,"Homenaje de la Ciudad de Telde a Las Palmas de Gran Canaria","Anónimo",,"Plaza de Jacinto Benavente","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/429.JPG","C. 1980","DISTRITO CIUDAD ALTA"
430,"Homenaje de la Ciudad de Arucas a Las Palmas de Gran Canaria","Anónimo",,"Plaza de Jacinto Benavente","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/430.JPG","C. 1980","DISTRITO CIUDAD ALTA"
432,"Monumento a la Paz","Anónimo",,"Plaza de la Paz","http://datosabiertos.laspalmasgc.es/repositorio/mobiliario/fotos_monumentos/432.JPG","C. 1990","DISTRITO CIUDAD ALTA"
